text,label
Cryptocurrency surges as institutional investors enter the market,positive
GDP growth in line with market expectations,neutral
Healthcare industry continues steady expansion,neutral
Major tech firm announces leadership transition,neutral
Tech stocks plummet due to global semiconductor shortage,negative
"Oil prices soar, increasing inflationary pressure",negative
Housing market sees increase in home purchases,positive
Major tech firm announces leadership transition,neutral
Real estate sector sees decline in new housing projects,negative
Healthcare stocks rise on strong drug approval results,positive
Cryptocurrency market fluctuates within expected range,neutral
Federal Reserve signals potential interest rate cuts,positive
Stock market volatility spikes after unexpected Fed decision,negative
Unemployment rate drops to lowest level in years,positive
"Oil prices soar, increasing inflationary pressure",negative
Healthcare stocks rise on strong drug approval results,positive
Retail sector experiences robust holiday sales,positive
Housing market trends show little change from last quarter,neutral
Stock market remains stable amid mixed economic data,neutral
Real estate sector sees decline in new housing projects,negative
"Government deficit reaches all-time high, sparking economic concerns",negative
Retail sector experiences robust holiday sales,positive
Cryptocurrency market fluctuates within expected range,neutral
Stock market volatility spikes after unexpected Fed decision,negative
Tech sector sees record growth amid AI advancements,positive
Federal Reserve signals potential interest rate cuts,positive
Corporate profits exceed analyst expectations,positive
Healthcare industry continues steady expansion,neutral
Cryptocurrency surges as institutional investors enter the market,positive
Housing market trends show little change from last quarter,neutral
Major bank faces liquidity crisis amid tightening regulations,negative
Federal Reserve maintains interest rates at current levels,neutral
Employment numbers remain steady as predicted,neutral
Housing market trends show little change from last quarter,neutral
Corporate profits exceed analyst expectations,positive
Stock market remains stable amid mixed economic data,neutral
Federal Reserve signals potential interest rate cuts,positive
Cryptocurrency surges as institutional investors enter the market,positive
GDP growth in line with market expectations,neutral
"Oil prices soar, increasing inflationary pressure",negative
Housing market trends show little change from last quarter,neutral
Stock market volatility spikes after unexpected Fed decision,negative
Stock market rallies after strong earnings reports,positive
Unemployment rate drops to lowest level in years,positive
Unemployment rate drops to lowest level in years,positive
Cryptocurrency market fluctuates within expected range,neutral
Market tumbles as inflation fears grow,negative
Retail sector reports moderate sales growth,neutral
Tech sector sees record growth amid AI advancements,positive
Stock market rallies after strong earnings reports,positive
Retail sector reports moderate sales growth,neutral
Unemployment rate drops to lowest level in years,positive
Cryptocurrency surges as institutional investors enter the market,positive
Healthcare industry continues steady expansion,neutral
Tech stocks plummet due to global semiconductor shortage,negative
Major tech firm announces leadership transition,neutral
Housing market sees increase in home purchases,positive
GDP growth in line with market expectations,neutral
Healthcare industry continues steady expansion,neutral
Cryptocurrency surges as institutional investors enter the market,positive
Cryptocurrency market fluctuates within expected range,neutral
Healthcare industry continues steady expansion,neutral
Federal Reserve signals potential interest rate cuts,positive
Tech stocks plummet due to global semiconductor shortage,negative
Unemployment rate drops to lowest level in years,positive
Cryptocurrency surges as institutional investors enter the market,positive
Major company reports weaker-than-expected earnings,negative
"Oil prices soar, increasing inflationary pressure",negative
Corporate profits exceed analyst expectations,positive
Major automaker announces breakthrough in electric vehicle technology,positive
Healthcare industry continues steady expansion,neutral
Federal Reserve signals potential interest rate cuts,positive
Unemployment rate drops to lowest level in years,positive
"Government deficit reaches all-time high, sparking economic concerns",negative
Stock market rallies after strong earnings reports,positive
Major tech firm announces leadership transition,neutral
Retail sector experiences robust holiday sales,positive
Retail sector reports moderate sales growth,neutral
Consumer confidence drops as recession fears mount,negative
Healthcare industry continues steady expansion,neutral
Tech sector sees record growth amid AI advancements,positive
Federal Reserve maintains interest rates at current levels,neutral
Healthcare stocks rise on strong drug approval results,positive
Federal Reserve signals potential interest rate cuts,positive
Healthcare stocks rise on strong drug approval results,positive
Real estate sector sees decline in new housing projects,negative
Unemployment rate drops to lowest level in years,positive
Major automaker announces breakthrough in electric vehicle technology,positive
Healthcare stocks rise on strong drug approval results,positive
Major bank faces liquidity crisis amid tightening regulations,negative
Government announces new financial policy without major impact,neutral
Stock market rallies after strong earnings reports,positive
Employment numbers remain steady as predicted,neutral
Corporate profits exceed analyst expectations,positive
Cryptocurrency surges as institutional investors enter the market,positive
Major bank faces liquidity crisis amid tightening regulations,negative
Retail sector reports moderate sales growth,neutral
"Oil prices soar, increasing inflationary pressure",negative
Real estate sector sees decline in new housing projects,negative
Stock market remains stable amid mixed economic data,neutral
Housing market sees increase in home purchases,positive
Federal Reserve maintains interest rates at current levels,neutral
"Government deficit reaches all-time high, sparking economic concerns",negative
Stock market remains stable amid mixed economic data,neutral
Housing market sees increase in home purchases,positive
Housing market sees increase in home purchases,positive
Government announces new financial policy without major impact,neutral
Major tech firm announces leadership transition,neutral
Federal Reserve maintains interest rates at current levels,neutral
Housing market trends show little change from last quarter,neutral
Federal Reserve maintains interest rates at current levels,neutral
Major bank faces liquidity crisis amid tightening regulations,negative
Housing market sees increase in home purchases,positive
Healthcare industry continues steady expansion,neutral
Cryptocurrency surges as institutional investors enter the market,positive
Retail sector reports moderate sales growth,neutral
Real estate sector sees decline in new housing projects,negative
Healthcare industry continues steady expansion,neutral
Stock market volatility spikes after unexpected Fed decision,negative
Real estate sector sees decline in new housing projects,negative
Consumer confidence drops as recession fears mount,negative
Federal Reserve maintains interest rates at current levels,neutral
Government announces new financial policy without major impact,neutral
Consumer confidence drops as recession fears mount,negative
Tech stocks plummet due to global semiconductor shortage,negative
Tech sector sees record growth amid AI advancements,positive
Federal Reserve signals potential interest rate cuts,positive
Market tumbles as inflation fears grow,negative
Unemployment rate drops to lowest level in years,positive
Healthcare industry continues steady expansion,neutral
Healthcare industry continues steady expansion,neutral
Tech sector sees record growth amid AI advancements,positive
Major tech firm announces leadership transition,neutral
Unemployment rate drops to lowest level in years,positive
Major tech firm announces leadership transition,neutral
Economic downturn leads to massive job cuts,negative
Major automaker announces breakthrough in electric vehicle technology,positive
Stock market rallies after strong earnings reports,positive
Major bank faces liquidity crisis amid tightening regulations,negative
Housing market sees increase in home purchases,positive
Housing market sees increase in home purchases,positive
Employment numbers remain steady as predicted,neutral
Retail sector experiences robust holiday sales,positive
"Government deficit reaches all-time high, sparking economic concerns",negative
Federal Reserve signals potential interest rate cuts,positive
Stock market remains stable amid mixed economic data,neutral
Tech sector sees record growth amid AI advancements,positive
Cryptocurrency surges as institutional investors enter the market,positive
"Oil prices soar, increasing inflationary pressure",negative
Cryptocurrency surges as institutional investors enter the market,positive
Major tech firm announces leadership transition,neutral
Real estate sector sees decline in new housing projects,negative
Government announces new financial policy without major impact,neutral
Government announces new financial policy without major impact,neutral
Major company reports weaker-than-expected earnings,negative
"Oil prices soar, increasing inflationary pressure",negative
Market tumbles as inflation fears grow,negative
Stock market volatility spikes after unexpected Fed decision,negative
Unemployment rate drops to lowest level in years,positive
Employment numbers remain steady as predicted,neutral
Healthcare industry continues steady expansion,neutral
Federal Reserve maintains interest rates at current levels,neutral
Cryptocurrency surges as institutional investors enter the market,positive
Corporate profits exceed analyst expectations,positive
Government announces new financial policy without major impact,neutral
Unemployment rate drops to lowest level in years,positive
Major tech firm announces leadership transition,neutral
"Government deficit reaches all-time high, sparking economic concerns",negative
Major tech firm announces leadership transition,neutral
Corporate profits exceed analyst expectations,positive
Consumer confidence drops as recession fears mount,negative
Stock market rallies after strong earnings reports,positive
Corporate profits exceed analyst expectations,positive
Major tech firm announces leadership transition,neutral
Federal Reserve maintains interest rates at current levels,neutral
Healthcare industry continues steady expansion,neutral
"Oil prices soar, increasing inflationary pressure",negative
"Oil prices soar, increasing inflationary pressure",negative
"Oil prices soar, increasing inflationary pressure",negative
Healthcare industry continues steady expansion,neutral
Housing market sees increase in home purchases,positive
Stock market volatility spikes after unexpected Fed decision,negative
Unemployment rate drops to lowest level in years,positive
"Government deficit reaches all-time high, sparking economic concerns",negative
Housing market trends show little change from last quarter,neutral
Tech stocks plummet due to global semiconductor shortage,negative
"Government deficit reaches all-time high, sparking economic concerns",negative
Corporate profits exceed analyst expectations,positive
Tech sector sees record growth amid AI advancements,positive
Federal Reserve signals potential interest rate cuts,positive
Major company reports weaker-than-expected earnings,negative
Major tech firm announces leadership transition,neutral
Federal Reserve maintains interest rates at current levels,neutral
Federal Reserve maintains interest rates at current levels,neutral
Cryptocurrency market fluctuates within expected range,neutral
Tech stocks plummet due to global semiconductor shortage,negative
Major automaker announces breakthrough in electric vehicle technology,positive
Employment numbers remain steady as predicted,neutral
"Oil prices soar, increasing inflationary pressure",negative
"Government deficit reaches all-time high, sparking economic concerns",negative
Tech sector sees record growth amid AI advancements,positive
Healthcare stocks rise on strong drug approval results,positive
Federal Reserve signals potential interest rate cuts,positive
Corporate profits exceed analyst expectations,positive
"Oil prices soar, increasing inflationary pressure",negative
Federal Reserve signals potential interest rate cuts,positive
Cryptocurrency surges as institutional investors enter the market,positive
Housing market trends show little change from last quarter,neutral
Major bank faces liquidity crisis amid tightening regulations,negative
Corporate profits exceed analyst expectations,positive
Retail sector reports moderate sales growth,neutral
Housing market trends show little change from last quarter,neutral
Cryptocurrency surges as institutional investors enter the market,positive
Healthcare stocks rise on strong drug approval results,positive
Stock market rallies after strong earnings reports,positive
"Government deficit reaches all-time high, sparking economic concerns",negative
Federal Reserve signals potential interest rate cuts,positive
Government announces new financial policy without major impact,neutral
GDP growth in line with market expectations,neutral
Market tumbles as inflation fears grow,negative
Federal Reserve signals potential interest rate cuts,positive
Employment numbers remain steady as predicted,neutral
Healthcare industry continues steady expansion,neutral
Major tech firm announces leadership transition,neutral
Housing market sees increase in home purchases,positive
Healthcare industry continues steady expansion,neutral
Government announces new financial policy without major impact,neutral
Healthcare stocks rise on strong drug approval results,positive
Stock market rallies after strong earnings reports,positive
"Oil prices soar, increasing inflationary pressure",negative
Economic downturn leads to massive job cuts,negative
Federal Reserve maintains interest rates at current levels,neutral
Housing market trends show little change from last quarter,neutral
"Government deficit reaches all-time high, sparking economic concerns",negative
Stock market volatility spikes after unexpected Fed decision,negative
Stock market remains stable amid mixed economic data,neutral
Economic downturn leads to massive job cuts,negative
Government announces new financial policy without major impact,neutral
Economic downturn leads to massive job cuts,negative
Major tech firm announces leadership transition,neutral
Healthcare stocks rise on strong drug approval results,positive
Federal Reserve maintains interest rates at current levels,neutral
Major automaker announces breakthrough in electric vehicle technology,positive
Consumer confidence drops as recession fears mount,negative
Federal Reserve signals potential interest rate cuts,positive
Corporate profits exceed analyst expectations,positive
Economic downturn leads to massive job cuts,negative
Real estate sector sees decline in new housing projects,negative
"Government deficit reaches all-time high, sparking economic concerns",negative
Housing market trends show little change from last quarter,neutral
Stock market rallies after strong earnings reports,positive
Healthcare stocks rise on strong drug approval results,positive
Government announces new financial policy without major impact,neutral
Federal Reserve signals potential interest rate cuts,positive
Retail sector experiences robust holiday sales,positive
Employment numbers remain steady as predicted,neutral
Healthcare stocks rise on strong drug approval results,positive
Major tech firm announces leadership transition,neutral
Stock market rallies after strong earnings reports,positive
Economic downturn leads to massive job cuts,negative
Stock market remains stable amid mixed economic data,neutral
Tech stocks plummet due to global semiconductor shortage,negative
Cryptocurrency surges as institutional investors enter the market,positive
Unemployment rate drops to lowest level in years,positive
Market tumbles as inflation fears grow,negative
Retail sector experiences robust holiday sales,positive
Tech stocks plummet due to global semiconductor shortage,negative
Government announces new financial policy without major impact,neutral
Healthcare industry continues steady expansion,neutral
"Government deficit reaches all-time high, sparking economic concerns",negative
Stock market remains stable amid mixed economic data,neutral
Major tech firm announces leadership transition,neutral
Healthcare industry continues steady expansion,neutral
Federal Reserve signals potential interest rate cuts,positive
Healthcare industry continues steady expansion,neutral
GDP growth in line with market expectations,neutral
Stock market volatility spikes after unexpected Fed decision,negative
"Oil prices soar, increasing inflationary pressure",negative
"Oil prices soar, increasing inflationary pressure",negative
"Oil prices soar, increasing inflationary pressure",negative
Healthcare industry continues steady expansion,neutral
